vehicle_id,dealer_id,plate,year,month,max_date,monthly_score,total_penalties,total_km
1770,VLNMM1,MJEC1JG43L5188605,2022,4,26:16.0,79,20.79,845.2
698,VWDCM1,K 7574 OC,2022,4,50:58.0,25,74.32,1632
764,VJDMI1,B 9647 TIS,2022,4,08:49.0,0,103.87,4926.4
863,VJDMI1,MJESG8JE1LJE14375,2022,4,05:00.0,12,87.99,6150.3
926,VGIPA1,BL 8336 JW,2022,4,54:38.0,69,30.7,73.3
971,VJHMM1,MJEC1JG43L5188413,2022,4,26:14.0,0,118.08,57.8
1083,VLNMM1,MJEC1JG43L5188380,2022,4,32:38.0,78,22.5,188.9
1114,VWDCM1,G70240D,2022,4,23:11.0,80,16.71,3679.4
1165,VJAJN1,B 9429 FG,2022,4,54:05.0,88,11.63,1386.1
1260,VKPPK1,MJEFM8JN1LJE33181,2022,4,19:40.0,0,165.32,3706
1396,VKAMP1,KH 8547 LP,2022,4,45:37.0,0,425.07,916.8
1458,VJHMM1,B 9610 NYV,2022,4,54:06.0,85,14.54,756.3
1546,VJDMI1,B 9039 KXU,2022,4,43:57.0,74,25.65,367.4
1567,VGICP2,DH 8912 AK,2022,4,06:00.0,70,30.07,812.3
1575,VGIPJ1,MJEC1JG51L5005127,2022,4,38:34.0,96,4.27,193.6
1647,VJDMI1,B 9794 BDI,2022,4,17:57.0,14,85.51,1217
1740,VWCKM1,L9240UR,2022,4,41:48.0,72,27.79,707
13,VWDCM1,AA 7016 OD,2022,4,16:06.0,90,10.07,6747.1
14,VWDCM1,K7001OM,2022,4,58:58.0,98,0.46,4476
37,VWDCM1,G7017OB,2022,4,16:51.0,94,2.64,4299.8
178,VLNPN1,DB 8590 LM,2022,4,06:08.0,37,62.88,1098.9
28,VWDCM1,R1600DR,2022,4,05:12.0,65,32.67,4626.4
